Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Random Relic (DMG p.331) (Uncommon),-,Old Ways Chosen,Relic (Uncommon),-,-,-,-,-,"Perception, Investigation, Religion, Arcana", "13(x1),17(x2)","Moors, Wicker's Vigil"
Random Implement (DMG p.329)(Common),-,"Scout, Bandit Captain",Implement (Common),-,-,-,-,-,"Survival, Perception, Investigation", "13(x1)","Moors, Wickermoor Village, The Drowned Crossroads"
Bug Parts,pouch,"Skitterswarm, Giant Centipede",Ingredient (Common),"Potions, Scrolls, Armor, Wondrous Items",13 GP,-,"Bug parts are often used in enchantments and potions","Ew! When added to cooking, you can cook for 1 person. When the food is eaten, you take 1d4 Poison damage, and for 1 hour, all your attacks also deal +1d4 Potion damage","Survival, Perception, Investigation, Nature", "13(x1),17(x3)","Moors, Wickermoor Village, Skitterdeep Mine"
Giant Carapace,bag,Giant Centipede,Consumable (Uncommon),"Potions, Scrolls, Armor, Wondrous Items",50 GP,"Armor attachment","This hard carapace of a slain giant insect will add +1 AC when attached to armor or shields, but it will fall apart after the character suffers damage 5 separate times.","When added to cooking, you can cook a special effect for up to 4 people. When eaten, you take 1d4 poison damage and have an added resistance for 1 hour. For the duration, you add +1 to Constitution Saving Throws", "Survival, Perception, Investigation, Nature", "15(x1), 20(x2)","Moors, Skitterdeep Mine, Vermintoll Abomination Lair"
Bag of Hilarity,pouch,"Reveler of Stories, Reveler of Song, Herald of Fools",Consumable (Rare),"Potions, Scrolls, Wondrous Items",500 GP,"Throw, Sprinkle","When thrown, upon impact a cloud of confetti and glitter explodes in a 5 ft radius, creatures in the radius make a DC 15 Wisdom Saving Throw and take 4d6 Psychic Damage and is affected by a random chaotic curse for 1 minute on a failure, or half the damage and no chaotic curse on a success. When sprinkled on the ground, an emanation of 15 ft radius surrounds the sprinkled area, and enemies entering the emanation or starting their turn in the emanation make a DC 15 Wisdom saving throw, and take 2d6 Psychic damage and become affected by incontrollable laughter which makes them unable to attack until the start of their next turn, or half damage and no laughter on a success.",-,"Perception, Investigation, Religion, Performance", "15(x1)","Moors, Fool's Day Festival"
Flag of the Herald,bag,Herald of Fools,Ingredient (Rare),"Potions, Scrolls, Wondrous Item (clothing)",500 GP,"Wear","If worn as a cloak or some other accessory, add +2 on Performance checks (humor)",-,"Perception, Investigation, Religion, Performance", "13(x1)","Moors, Fool's Day Festival"
Random Implement (DMG p.329) (Rare),-,"Herald of Fools, Kackle, Ferryman",Implement (Rare),-,-,-,-,-,"Survival, Perception, Investigation","15(x1)","Moors, Fool's Day Festival, Maidenmist Cementery, Foxwillow (Galloping Headsman riled), Maidenmist Cementery (The Barrow King), The Drowned Crossroads"
Random Armament (DMG p.328) (Common),-,"Warrior Veteran, Berserker, Knight, Tough",-,-,-,-,-,-,"Survival, Perception, Investigation","13(x1)","Moors, The Crimson Monastery, Foxwillow"
Gobblegeist Petrified Eye,pouch,Gobblegeist,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Wondrous Items",500 GP,"Point","As a Magic action, you can point the eye and expel a beam making a 60 ft long 5 ft wide line. Creatures in the line make a DC 14 Dexterity Saving Throw, and on a failure take 1d12 Psychic damage and have the Stunned condition until the start of the user's next turn.",??,"Survival, Nature， Arcana","17(x1)", "Moors, The Crooked House (return), The Witchywood, Foxwillow (Galloping Headsman riled), The Drowned Crossroads (Jinxed Leviathan riled), Dusk Mother (dolls), Moonsong Lake"
Gobblegeist Meat,bag,Gobblegeist,Ingredient (Rare),"Potions, Scrolls, Spells",250 GP,-,"You can use this instead of 250 GP when crafting potions, scrolls, or as the material component for spells","When cooked, you can cook for up to 4 people. When eaten this way, you have resistance to Psychic damage for 1 hour.","Survival, Nature","17(x1),23(x2)","Moors, The Crooked House (return), The Witchywood, Foxwillow (Galloping Headsman riled), The Bayou (Jinxed Leviathan riled)"
Random Armament (DMG p.328) (Uncommon),-,Tough Boss,Armament (Uncommon),-,-,-,-,-,"Survival, Perception, Investigation","13(x1)","Moors, Wickermoor Village, The Drowned Crossroads, The Roving Rookery, Foxwillow (Galloping Headsman riled)"
Random Mundane,-,"Commoner, Bandit, Though",Mundane,-,-,-,-,-,"Survival, Perception, Investigation","10(x1)", "Moors, Wickermoor Village, Foxwillow, The Drowned Crossroads"
Large Dark Shard,pouch,Undead Centaur,Consumable (Rare),"Potions, Scrolls, Armor, Weapons, Wondrous Items",500 GP,"Weapon enchant, Armor enchant, Thrown","You can use a Bonus Action to apply this to a weapon. When applied to a weapon a negative aura covers the weapon for 1 hour, during which time you add +2d6 Necrotic damage to hits with that weapon, and the target's maximum Hit Points decreases by an ammount equal to the extra damage added by this item, unless they have resistances or immunities to Necrotic damage. When applied to an armor or shield, the aura covers the item for 1 hour, and when an enemy attacks the wearer they take 2d6 Necrotic damage, and can't recover Hit Points until the end of their next turn. When thrown, an emanation of magical darkness appears in a 15 ft radius, creatures in the emanation make a DC 15 Wisdom Saving Throw, and take 4d6 Necrotic damage and become Frightened of the emanation, or half the damage with no additional effect.",-,"Survival, Arcana","15(x1),20(x2)","Moors, Foxwillow (Galloping Headsman riled)"
Random Armament (DMG p.328) (Rare or Uncommon),-,"Undead Centaur, Fleshdobbin",Armament (Rare),-,-,-,-,-,"Survival, Perception, Investigation", "15(x1)","Moors, Foxwillow (Galloping Headsman riled), Skitterdeep Mine, Maidenmist Cementery"
Weasel Pelt,pouch,"Weasel, Boogleswarm, Weasel Hag",Ingredient (Common),"Clothing, Pouch, Wondrous Items (clothing, pouch)",13 GP,-,"Ermine fur can be used to create small items, or as decoration on larger clothes.",-,"Survival, Nature","10(x1)","Wickermoor Village, The Crooked House, The Crooked Nightmare"
Weasel Meat,bag,"Weasel",Ingredient (Mundane),-,-,-,-,"You can cook this to make mundane food for 1 person","Survival,Nature",13(x1),"Wickermoor Village, The Crooked House, The Crooked Nightmare"
Humanoid Tooth,pouch,Boogleswarm,Ingredient (Common),"Potion",1 GP,-,"Ew, what are you gonna do with that?",??,"Survival, Perception, Investigation","10(x1)","The Crooked House, The Crooked Nightmare"
Wolf Pelt,bag,Wolf,Ingredient (Common),"Armor (leather), Mundane (leather), Wondrous Items (leather)",13 GP,Wear,"When worn as a cloak, you can add +1 to Intimidation checks. Additionally, you have Advantage on saving throws against extreme cold.",-,"Survival, Nature","13(x1)", "Wickermoor Village"
Wolf Meat,bag,"Wolf, Dire Wolf",Ingredient (Mundane),-,-,-,-,"You can cook this to make mundane food for 4 people","Survival,Nature","15(x1),15(x2)(Dire Wolf only)","Wickermoor Village"
Dire Wolf Pelt,bag,Dire Wolf,Ingredient (Uncommon),"Armor (leather or hide), Mundane (leather), Wondrous Items (leather or hide)",50 GP,Wear,"When worn as a cloak, you can add +2 to Intimidation checks. Additionally, you have Advantage on saving throws against extreme cold.",-,"Survival, Nature","13(x1)","Wickermoor Village"
Hag Familiar Pearl,pouch,Vermin Familiar,Consumable (Common),"Potions,Weapon,Armor,Wondrous Items",13 GP,Ritual,"When used instead of the insence in the spell Find Familiar cast as a ritual, the ritual takes half as long to cast. If placed upon the location that a Familiar disappeared when reaching 0 Hit Points within 1 minute, as a Magic Action, the Familiar can appear again without needing to cast the entire lenght of the spell. When used in either way the pearl is consumed by the Familiar and disappears.",-,"Survival, Perception, Investigation, Arcana","15(x1)", "Wickermoor Village, The Crooked House, Skitterdeep Mine, Roving Rookery, The Crooked Nightmare"
Dark Shard,pouch,Wight,Consumable (Uncommon),"Potions, Scrolls, Armor, Weapons, Wondrous Items",50 GP,"Weapon enchant, Armor enchant, Thrown","You can use a Bonus Action to apply this to a weapon. When applied to a weapon a negative aura covers the weapon for 10 minutes, during which time you add +1d6 Necrotic damage to hits with that weapon, and the target's maximum Hit Points decreases by an ammount equal to the extra damage added by this item, unless they have resistances or immunities to Necrotic damage. When applied to an armor or shield, the aura covers the item for 10 minutes, and when an enemy attacks the wearer they take 1d6 Necrotic damage, and can't recover Hit Points until the end of their next turn. When thrown, an emanation of magical darkness appears in a 10 ft radius, creatures in the emanation make a DC 13 Wisdom Saving Throw, and take 2d6 Necrotic damage and become Frightened of the emanation, or half the damage with no additional effect.",-,"Survival, Arcana","15(x1),20(x2)", "The Crooked House, Drowned Crossroads, Wickermoor Village (The Barrow King waves)"
Ochre Ooze,vial,Ochre Jelly,Consumable (Common),"Potions, Scrolls, Spells",13 GP,"Pour, Throw","This acidic ooze will dissolve organic material very easily, but leave inorganic material untouched. When used on a slain monster, it can assist in harvesting their parts. Add +5 to Survival or Nature checks made to harvest monster parts. Alternatively, you can throw the vial at an enemy, making 3d6 plus your dexterity modifier Acid damage on a hit.","When cooked properly with something to neutralize its acidity, you can cook a gelatinous meal for 4 people. When consumed, for 1 hour you gain resistance to Acid damage.","Survival, Nature, Arcana","15(x1),20(x2)", "The Crooked House"
Thread of Grasping,pouch,Animated Rug of Smothering,Consumable (Common),"Wondrous Items (clothing)",13 GP,Activate,"The murderous smothering urges have left this 10 ft long loose thread from an Animated Rug of Smothering, and now only keeps the strength to grasp smaller objects. You can use the remaining magic in this thread to control it to grasp something with one end while you hold the other end. Once the thread has grasped something, you can will it to come back to you and fetch the object. Once fetched, the thread becomes mundane. You can think of other uses this thread might have, but it can only do one thing before running out of magic. The action can be no longer than 1 minute before it loses its magic.",-,"Survival, Perception, Investigation","13(x1),15(x2),17(x3)", "The Crooked House"
Rug of Horror,bag,House of Horror,Consumable (Very Rare),"Potions, Scrolls, Wondrous Items (clothing)",2500 GP,Throw,"A rug that once was in the House of Horror. Target a creature you can see 30 ft from yourself. The target must make a DC 15 Dexterity Saving Throw or be smothered by the rug and take 3d6 Bludgeoning damage and have the Grappled, Blinded and Restrained conditions and suffocate until it escapes. Each of the target's turns it can take an action to make a DC 13 Strength (Athletics) check or remain constricted and take aditional damage. The rug loses its magical properties after the target dies, or after 5 minutes (whichever happens first), and cannot be used again or as a magical crafting ingredient. The now mundane cloth can be used as 50 GP worth of clothing material otherwise.",-,"Survival, Perception, Investigation, Arcana","13(x1),15(x2),20(x3)", "Wickermoor Village (The old pyethymer place)"
Broom of Flying,-,House of Horror,Wondrous Item (Uncommon)(Requires Attunement),-,-,-,-,-,"Survival, Perception, Investigation, Arcana", "15(x1)","Wickermoor Village (The old pyethymer place)"
Random Arcana (DMG p.327) (Very Rare),-,House of Horror,Arcana (Very Rare),-,-,-,-,-,"Survival, Perception, Investigation, Arcana", "17(x1),20(x2),23(x3)","Wickermoor Village (The old pyethymer place)"
Random Spell Scroll (spell level 6 or several which sum to 6),-,House of Horror,Spell Scroll (Very Rare),-,-,-,-,-,"Survival, Perception, Investigation, Arcana","15(x1)", "Wickermoor Village (The old pyethymer place)"
Memory Orb,bag,"House of Horror",Consumable (Very Rare),-,-,Absorb,"An orb containing the memories of a slain hero of the past. When you consume this item, you see the memories and feel them as if your own, and you gain a Feat of your choice. The orb shatters and becomes dust after use.",-,"Survival, Perception, Investigation, Insight, Religion, Arcana","Auto Success as quest reward (1 for each party member)", "Wickermoor Village (The old Pyethymer place)"
Memory Orb Dust,"vial, cloth, pouch",-,Ingredient (Very Rare),"Potions, Scrolls, Weapons, Armor, Wondrous Items",2500 GP,-,"The remaining dust of the memory orb can be used as material worth 2500 GP when crafting a magical item",-,-,-,-
Uvula of Horror,bag,House of Horror,Wondrous Item (Very Rare),-,-,Hooded Lantern,"A lantern that once was the House of Horror's uvula, and is still emanating some of her energy. It sheds red Bright Light in a 30 ft radius and Dim Light for an additional 30 ft. It has 2 charges. As a Magic action, you can spend one charge to lower the hood to direct a beam of light in a 45 ft long 10 ft wide line, and creatures in the illuminated area must succeed on a DC 17 Wisdom Saving Throw or suffer the effects of the Phantasmal Killer spell for 1 minute. It recharges 1 charge every 10 days.",-,"Survival, Perception, Investigation, Arcana","15(x1)", "Wickermoor Village (The old Pyethymer place)"
Random Magic Item (DMG p.327) (Uncommon),-, Lurker in the Dark,-,-,-,-,-,-,"Survival, Perception, Investigation, Arcana", "13(x1)","The Crooked House, The Bag"
Lurker Dust,"vial, cloth",Lurker in the Dark,Consumable (Uncommon),"Potions, Scrolls, Weapons, Armor, Wondrous Items",50 GP,Sprinkle,"When sprinkled at a character's feet as a Magic Action, the character can teleport to a place within 60 ft. If the place is not in Bright Light, the user does not need to see it. A creature the user is grappling must succeed on a DC 13 Charisma Saving Throw or be teleported to an unoccupied space closest to the user's destination.","When added as a spice to cooking, you can make food with a special effect for up to 4 people. When eaten, for 1 hour, you become slightly unnoticeable and unnerving. When in Dim Light or Darkness, you can take the Hide Action using Charisma (Deception) instead of Dexterity (Stealth), and creatures have 1d6 subtracted from their Perception or Insight checks against you. However, if a creature that succeeds on seeing you is Friendly towards you, they make a DC 15 Wisdom Saving Throw or have the Frightened condition until the start of their next turn.","Survival, Perception, Investigation, Insight, Arcana","15(x1),17(x2)", "The Crooked House, The Bag"
Ketgrinn's Bell,pouch,Ketgrinn,Consumable (Uncommon),"Potions, Scrolls, Weapons, Armor, Wondrous Items",50 GP,Use,"Ringing this bell as a Bonus Action you become invisible for 1 minute and immediately teleport to a space you can see up to 40 ft from you. The invisibility ends in 1 minute, or when you have made an attack roll, dealt damage, or cast a spell, whichever comes first.",-,"Survival, Perception, Investigation, Arcana","15(x1),17(x2)", "The Crooked House, The Witchywood, The Hartsblight Forest (The Tall Man)"
Random Arcana (DMG p.327) (Uncommon),-,"Ketgrinn, Corvodaemon",Arcana (Uncommon),-,-,-,-,-,"Survival, Perception, Investigation, Arcana","15(x1)", "The Crooked House, The Witchywood, The Hartsblight Forest (The Tall Man), Foxwillow, Cornfield, Foxwillow (The Galloping Headsman riled)"
Random Arcana (DMG p.327) (Uncommon),-,"Weasel Hag",Arcana (Uncommon),-,-,-,-,-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","13(x1), 17(x2), Auto Success on Fated Tarot: The Moon (x2)", "The Crooked House"
Bag of Humanoid Teeth,bag,Weasel Hag,Ingredient (Uncommon),"Potions, Scroll",50 GP,-,"Weasel Hags are obsessed with these things huh? They can probably do some magic with them.",-,"Survival, Perception, Investigation, Arcana","15(x1), Auto Success on Fated Tarot: The Moon (x1)", "The Crooked House"
Lilypad Tonic,vial,Weasel Hag,Potion (Common),-,-,-,-,-,"Perception, Investigation, Arcana","15(x1),17(x3), Auto Success on Fated Tarot: The Moon (x3)", "The Crooked House"
Random Spell scroll (spell level 3 or several that sum to 3),-,Weasel Hag,Spell Scroll (Uncommon),-,-,-,-,-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","15(x1), 20(x2), Auto Success on Fated Tarot: The Moon (x2)", "The Crooked House"
Compass of Wanting,pouch,Weasel Hag,Wondrous Item (Uncommon),-,-,-,"Once per day, you can describe an object that is familiar to you, and make a DC 15 Arcana check. On a success, the compass will point in the objects direction if it is within 500 ft of you. The compass can locate a specific object known to you if you have seen it up close (within 30 feet) at least once. Alternatively, the compass can locate the nearest object of a particular kind, such as a certain kind of apparel, jewelry, furniture, tool, or weapon. The check can be made with Advantage if the object of interest is a specific type of teeth. This compass can’t locate an object if any thickness of lead blocks a direct path between you and the object.",-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","15(x1), Auto Success on Fated Tarot: The Moon (x1)", "The Crooked House"
Twisted Charm,pouch,Weasel Hag,Wondrous Item (Rare),-,-,-,"The 3 Twists of Fate from the Fated Tarot Reading made into an item.",-,"Survival, Perception, Investigation, Insight, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Moon (x1)", "The Crooked House"
Memory Shard,pouch,Pumpkin Head,Consumable (Uncommon),"Potions, Scrolls, Weapons, Armor, Wondrous Items",50 GP,Absorb,"A shred of a memory, when consumed, will add temporary knowledge of the Pumpkin Head victim's memories. Roll 1d5 to choose an Ability from Strength (1), Dexterity (2), Intelligence (3), Wisdom (4), and Charisma (5). For 1 hour, skill checks for that ability are made with advantage.",-,"Survival, Perception, Investigation, Insight, Arcana","13(x1)", "Foxwillow, Cornfield, Foxwillow (The Galloping Headsman riled)"
Harvest Brew Base,bottle,Pumpkin Head,Consumable (Uncommon),"Potion (Harvest Brew)",50 GP,"Drink","The pumpkin juice of a Pumpkin Head has deep conections with the Harvest magic energy of Enoch. This can easily be used to make a Harvest Brew potion. When consumed directly, you regain 4d4+4 Hit Points and have Advantage on Constitution Saving Throws for 10 minutes.","When used for cooking, you can make food with a special effect for up to 4 people. When eaten, you have Advantage on Constitution Saving Throws for 2 hours.","Survival, Nature, Arcana","13(x1),17(x2)", "Foxwillow, Cornfield, Foxwillow (The Galloping Headsman riled)"
Daemon Ichor,vial,"Corvodaemon, The Harvest Terror",Consumable (Uncommon),"Potions, Scrolls, Spells, Weapons, Armor, Wondrous Items",50 GP,Weapon enchant,"You can use a Bonus Action to apply this to a weapon. When applied to a weapon, you can make 1 more attack than you are normally able to per turn for 1 minute, and the wielder of the weapon gains Temporary Hit Points equal to half the damage that was dealt.","When used in cooking, you can cook food with a special effect for up to 2 people. When eaten, your eyes become slightly demonic for 1 hour, and you gain the ability to see in Darkness as if it was Bright Light up to 40 ft, and as if it was Dim Light up to 80 ft for the duration.","Survival, Investigation, Religion, Fated Tarot Reading (The Harvest Terror only)","15(x1), 20(x2) (Harvest Terror only), Auto Success on Fated Tarot: The Chariot (x2) (Harvest Terror only)","Foxwillow, Cornfield"
False Crow Feather,pouch,Crowstorm,Consumable (Common),"Potions, Scrolls, Wondrous Items, Arrow Fletchings",5 GP,"Activate, Fire with arrow","A pristine feather from the mangled remains of the crow-like enemy. When activated, or when it is tied to an arrow or made into the fletching and the arrow hits a point, a 15 ft sphere area surrounding this false feather will have a magical effect that makes flying creatures other than Fiends have their speed reduced to 0 until the start of their turn. The effect is instantaneous and then the feather disappears immediately after use. The feather can be tied whole into an arrow, or it can be used as 5 GP worth of crafting materials towards the 25 GP necessary to make False Crow Ammunition (Common)(10), which have the same effect.",-,"Survival, Perception, Investigation, Nature","13(x1),15(x3),17(x5)", "Foxwillow, Cornfield"
Harvest Terror Feather,pouch,The Harvest Terror,Consumable (Uncommon),"Potions, Scrolls, Wondrous Items, Arrow Fletchings",10 GP,"Activate, Fire with arrow","A pristine feather from the remains of The Harvest Terror. When activated as a Bonus Action, you can avoid provoking an Opportunity Attack for the rest of the turn. When tied to an arrow or made into the fletching, a wall of wind in a 10 ft radius cylinder, 1 ft thick and 15 ft high, appears for 1 minute centered around the arrow. If the arrow hits an enemy, the arrow deals damage as it otherwise would unrelated to this effect. When the wall appears, each creature in the area simply gets pushed to one side of the cylinder. The strong wind keeps fog, smoke and other gases at bay, and Small or smaller flying creatures can't pass through the wall. Arrows, bolts or other ordinary light projectiles aimed at targets behind the wall get launched upward and miss. The feather can be tied whole into an arrow, or it can be used as 10 GP worth of crafting materials towards the 100 GP necessary to make Harvest Terror Ammunition (Uncommon)(15), which have the same effect.",-,"Survival, Perception, Investigation, Nature, Fated Tarot Reading","13(x1),15(x3),17(x5), Auto Success on Fated Tarot: The Chariot (x5)","Cornfield"
Amber Eye,pouch,The Harvest Terror,Ingredient (Rare),"Potions, Scrolls, Weapons, Armor, Wondrous Items",500 GP,-,"A piece of amber in the shape of an eye, which used to belong to the Harvest Terror. It still feels imbued with magic which can be used in place of 500 GP for crafting magic items.",-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","15(x1),17(x2), Auto Success on Fated Tarot: The Chariot (x2)", "Cornfield"
Secret Shard,pouch,The Harvest Terror,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Wondrous Items",500 GP,Absorb,"A shred of a secret devoured by the Harvest Terror. When consumed, you learn secret knowledge as flashbacks. You permanently gain a +2 bonus to one skill you choose.",-,"Survival, Perception, Investigation, Insight, Arcana, Fated Tarot Reading","17(1 for each party member), Auto Success on Fated Tarot: The Chariot (1 for each party member)", "Cornfield"
Ol' Jericho Sticks' Memory Shard,pouch,The Harvest Terror,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Wondrous Items",500 GP,Absorb,"A shred of a memory, when consumed, will add temporary knowledge of Ol' Jericho's memories. When consumed, permanently add +2 to the Performance skill, and you gain proficiency with the banjo.",-,"Survival, Perception, Investigation, Insight, Arcana, Fated Tarot Reading","13(x1), Auto Success on Fated Tarot: The Chariot (x1) (Harvest Terror only)", "Foxwillow, Cornfield, Foxwillow (The Galloping Headsman riled)"
Random Implement (DMG p.329) (Rare),-,The Harvest Terror,Implement (Rare),-,-,-,-,-,"Survival, Perception, Investigation, Fated Tarot Reading","15(x1),17(x2),20(x3),Auto Success on Fated Tarot: The Chariot","Cornfield"
The Harvest Terror's Scythe,-,The Harvest Terror,Weapon (Rare)(Requires Attunement),-,-,-,"The Fated Tarot treasure, with alternative roll to find options.",-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Chariot (x1)", "Cornfield"
Random Magic Item (DMG p.327) (Rare),-,"Wellwyrm, Invader out of Space",-,-,-,-,-,-,"Survival, Perception, Investigation, Arcana","15(x1),17(x2),20(x3)", "Foxwillow Farmland, Rowan's Rise, The Witchywood, Moonsong Lake (White Worm twisted), Meteorite crashsite"
